logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbol
2.34986522719629,4.2645600564643,4.26650481960805,0.000660196580443769,0.00896367495100201,-0.414441835721227,TP53I11
2.32773588999472,4.63323845900452,4.98623218670966,0.000157396477781747,0.00332954087615235,0.970158309556731,CALHM2
2.31871927155525,3.05084002400713,4.40849190424837,0.000495522522277262,0.0074844547635628,0.0282673647197758,NAV2
2.31480601025882,8.61340003454589,7.51731933676962,1.71509082712993e-06,0.000164793365618809,5.24325121719981,FKBP5
2.30942600536181,3.13087247275521,4.42853536623799,0.000475921669409356,0.00728498140794551,0.0795770022476061,ARSD
2.30835172249567,4.97999819713782,5.9921676060888,2.3542007914186e-05,0.000951041268866111,2.84193125706281,PLCB1
2.30173334622255,4.24930918966412,4.31628333289656,0.000596899348421531,0.00848533387461981,-0.242840530936072,TRGC1
2.29586345649419,9.55596534273618,5.34574456774721,7.86181337939206e-05,0.00206243295067933,1.32046663961165,MT-CO1
2.28918627163377,3.79714468511701,5.41790790980164,6.85276790053908e-05,0.00189103197255361,1.84836996810329,RP11-693N9.2
2.26774346799208,5.50193706891932,6.6599234192497,7.19223861559073e-06,0.000421750757053941,3.97665632772508,SLAMF1
2.26041379203464,4.07218687855389,5.21472052092591,0.000101060593873308,0.00242029500342232,1.47687059075109,ZDHHC14
2.2525808324839,5.55641353671937,6.13558714377323,1.81547570050823e-05,0.000778409608148016,3.05791110926635,KIAA1671
2.25234927745373,6.61238263828264,7.74543291584486,1.19056290491541e-06,0.0001335447013022,5.71569950881958,CD226
2.22178877561494,3.64635777641041,4.53053554847159,0.000387785471783924,0.00644289403640999,0.173144784761242,TNFSF14
2.21170132305257,4.77945950496105,5.56137335689333,5.22568574199118e-05,0.00157859256789317,2.0285685397218,KLRB1
2.20675266255902,5.20965149708141,6.59500157462763,8.04940702714241e-06,0.000447685844790023,3.87850508071584,DTHD1
2.19306348474533,9.41700830376537,9.08073558886824,1.59834314152167e-07,4.24892885121177e-05,7.63190413563743,C12orf35
2.19060709328705,6.57305908808496,6.29738641852304,1.35878123483282e-05,0.000630016299290216,3.23801381597146,STOM
2.19019805722851,4.03888768634682,5.51531477022293,5.69913501717678e-05,0.00167097800595533,2.03151324362232,RIMS3
2.15462090175708,5.26539357317734,6.49026657403077,9.66453112162672e-06,0.000491447513265343,3.70466653407296,GRAMD1B
2.1514714698135,5.43016094538188,5.64001196908849,4.50938757546831e-05,0.00145090861485374,2.17593429118365,KLRK1
2.14377307580292,5.78903803617127,7.53695849984522,1.66158772028522e-06,0.000163594593447835,5.42269437984295,OBFC2A
