Symbol	BB_001	BB_004	BB_005	MP_001	MP_004	MP_005	SS_001	SS_003	SS_004	SS_005	SS_006	SS_007
PELI2	22	91	110	36	84	66	51	109	41	123	224	229
PELI3	60	145	55	45	12	44	24	62	20	58	118	85
PELO	391	157	74	437	18	13	386	129	58	29	63	57
PEMT	64	26	26	40	7	28	41	35	0	43	33	28
PEPD	113	0	171	58	117	99	122	135	26	228	294	154
PER1	3490	2468	2241	2529	2825	2796	2271	2632	1278	4350	4294	2628
PER2	356	46	185	293	185	189	372	340	113	220	262	193
PER3	127	44	95	109	55	47	119	152	0	41	105	64
PERP	167	0	0	166	23	1	121	164	14	9	49	4
PES1	147	122	203	93	193	188	147	171	93	313	190	210
PET112L	42	0	75	35	36	79	68	79	15	79	77	109
PEX1	281	177	169	309	82	280	184	284	45	221	271	336
PEX10	73	53	66	40	31	70	49	54	48	65	64	91
PEX11A	4	0	12	6	0	3	7	19	0	11	6	10
PEX11B	69	0	101	50	79	101	93	96	37	75	91	130
PEX11G	4	0	2	0	0	0	11	7	0	3	0	0
PEX12	64	58	23	13	12	15	37	27	18	31	48	40
PEX13	83	122	73	53	48	64	106	117	26	72	130	116
PEX14	188	337	171	129	156	155	136	77	45	152	133	145
PEX16	236	348	228	153	249	199	152	159	131	285	276	214
PEX19	228	149	330	181	135	221	221	214	30	318	351	433
PEX2	98	103	143	139	59	130	208	167	35	172	198	282
PEX26	396	142	378	216	323	438	330	382	53	425	488	476
PEX3	53	0	72	90	4	67	85	105	12	54	58	103
PEX5	167	161	190	70	145	217	170	144	59	172	183	212
PEX5L	0	0	0	0	0	1	0	0	0	0	0	0
PEX6	199	290	355	119	326	333	181	177	103	383	277	323
PEX7	44	48	39	25	14	17	43	30	0	23	20	31
PF4	0	0	13	0	7	8	0	0	0	6	16	7
PFAS	178	101	216	126	175	243	134	92	35	258	142	173
PFDN1	88	156	124	75	68	81	88	102	27	113	212	169
PFDN2	57	42	38	31	17	39	11	36	27	73	66	38
PFDN4	50	28	52	25	17	28	29	42	27	40	70	69
PFDN5	667	1369	1337	438	411	697	449	538	631	1071	1515	1213
PFDN6	40	47	47	31	20	15	43	28	0	30	29	30
PFKFB1	3	0	4	7	0	3	15	15	8	9	4	8
PFKFB2	34	0	62	30	15	62	50	43	16	50	21	54
PFKFB3	5112	1050	436	5660	594	188	3263	2392	557	1090	1450	371
PFKFB4	22	73	13	22	5	30	9	21	5	20	37	35
PFKL	760	341	648	424	1172	760	688	1146	266	817	1212	815
PFKM	50	0	46	23	58	64	13	43	66	49	95	75
PFKP	419	231	251	448	571	327	456	443	91	405	648	250
PFN1	1949	2049	1810	828	1847	1145	1116	1303	865	2480	2938	1697
PFN2	0	32	51	36	0	25	29	36	12	51	74	78
PFN4	9	0	0	2	0	2	0	0	0	0	0	0
PGA3	0	0	0	0	0	0	0	0	53	0	0	0
PGAM1	192	134	148	139	135	99	161	139	113	169	290	163
PGAM2	5	0	15	0	5	13	7	3	0	15	5	12
PGAM4	1	1	0	1	0	0	3	0	0	0	1	0
PGAM5	111	163	159	61	119	138	103	85	53	168	175	135
PGAP1	69	0	107	57	13	105	47	102	19	60	177	168
PGAP2	97	0	128	54	46	84	28	75	0	116	94	119
PGAP3	17	0	17	6	10	13	14	28	0	16	15	10
PGBD1	8	0	11	27	11	20	10	9	10	21	8	28
PGBD2	56	0	29	32	28	45	61	52	23	54	37	33
PGBD3	0	0	0	4	0	0	0	0	0	0	0	1
PGBD4	62	55	65	55	8	41	43	31	0	33	65	76
PGBD5	0	0	0	0	0	0	0	5	0	0	0	0
PGC	0	0	0	0	0	0	0	0	0	0	0	2
PGD	129	0	150	68	64	122	77	65	57	175	176	140
PGF	2	0	0	0	0	0	2	0	0	0	0	0
PGGT1B	113	48	149	159	53	103	176	150	152	130	168	219
PGK1	2074	1264	1493	2116	607	972	1513	1045	828	1511	1852	1285
PGLS	91	8	193	49	130	151	45	96	20	188	218	140
